"ID","Name","Description","City","Address","Latitude","Longitude","Rating (Google)","Image URL","Phone","Email","Website URL","Location Description","Services","Pricing Packages"
"1","Centroom","","Białystok","Sienkiewicza 9","53.1302999","23.1646427","","https://centroom.co/wp-content/uploads/2024/01/centroom_og.jpg","533 553 204","kontakt@centroom.co","centroom.co","","Fast WiFi; conference rooms; tea & coffee; printing services; kitchen; private desks","netto: dzień 36;90 zł; tydzień 166 zł; miesiąc 461 zł; mmożliwość wynajęcia całej przestrzeni oraz salki szkoleniowej."
"2","S42","","Białystok","Sienkiewicza 42/12","53.1336238","23.1597113","","https://s42.pl/wp-content/uploads/2024/01/s42_og.jpg","576 001 833; 85 87 77 539","info@invest-in-bialystok.pl","s42.pl","","Fast WiFi; conference rooms; tea & coffee; printing services; kitchen; private desks","netto: biurko na miesiąc 680 zł; biuro serwisowane na miesiąc 1000zł/os; salka konferencyjna 60 zł/godzina lub 300 zł/8 godzin."
"3","Warszawska 6","","Białystok","Warszawska 6","53.1310823","23.1595479","","https://warszawska6.pl/wp-content/uploads/2024/01/W6_og.jpg","85 87 77 527; 727 957 457","info@warszawska6.pl","warszawska6.pl","","Fast WiFi; conference rooms; tea & coffee; printing services; kitchen; private desks","coworking od 50 zł do 329 zł za dzień/godzinę (zależy od długości abonamentu)."
"4","BielsCoworking","","Bielsko-Biała","Podcienie 2","49.821611","19.044926","","https://bielscoworking.pl/wp-content/uploads/2024/06/biurko-dla-freelancera-bielsko-1.jpg","506 776 003","leo@bielscoworking.pl","bielscoworking.pl","","Fast WiFi; conference rooms; tea & coffee; printing services; kitchen; private desks","od 50 zł netto za dzień; 550 zł netto za biurko na wyłączność; mikrobiura od 900 zł netto; salka konferencyjna od 40 zł netto/godzina."
"5","Bulwary Coworking","","Bielsko-Biała","Straconki 122","49.8004582","19.0852856","","https://coworkingbielsko.pl/wp-content/uploads/2023/09/coworking-bielsko-6.jpg","605 650 705","coworkingbielsko@gmail.com","coworkingbielsko.pl","","Fast WiFi; conference rooms; tea & coffee; printing services; kitchen; private desks","biurko dedykowane od 625 zł netto/miesiąc."
"6","Cowork Up!","","Bielsko-Biała","Stefana Okrzei 2/227","49.8203571","19.0516083","","https://www.startuppodbeskidzie.pl/wp-content/uploads/2021/11/Coworking-Bielsko-StartUp-Podbeskidzie-3-1024x682.jpg","451 019 147","","www.startuppodbeskidzie.pl","","Fast WiFi; conference rooms; tea & coffee; printing services; kitchen; private desks","biurko od 99 zł/dzień; 349 zł/miesiąc; salka od 75 zł/godzina."
"7","Farbiarnia Space","","Bielsko-Biała","Józefa Piłsudskiego 3","49.820271","19.0505399","","https://farbiarniaspace.com/wp-content/uploads/2023/09/P8260172-HDR-scaled.jpg","600 440 704","hello@farbiarniaspace.com","farbiarniaspace.com","","Fast WiFi; conference rooms; tea & coffee; printing services; kitchen; private desks",""
"8","Chilliflex Preludium","","Bydgoszcz","Ogińskiego 2","53.1306037","18.0189776","","https://chilliflex.co/wp-content/uploads/2023/10/og-chilliflex.png","530 949 902","preludium@chilliflex.co","chilliflex.co","","Fast WiFi; conference rooms; tea & coffee; printing services; kitchen; private desks","biurko od 700 zł/netto za miesiąc."
"9","Starówka Office","","Bydgoszcz","Długa 16","53.121933","18.0004093","","https://starowkaoffice.pl/wp-content/uploads/2023/08/Starowka-Office-Bydgoszcz-biuro-wirtualne-coworking-wynajem-biur-3.jpg","(52) 321 57 85; 508 835 638; 691 896 769","biuro@starowkaoffice.pl","starowkaoffice.pl","","Fast WiFi; conference rooms; tea & coffee; printing services; kitchen; private desks",""
"10","Chilliflex Argon i Ferrum","","Gdańsk","Grunwaldzka 415; Grunwaldzka 409","54.397649","18.5723311","","https://chilliflex.co/wp-content/uploads/2023/10/og-chilliflex.png","570 368 330; 533 220 101","ferrum@chilliflex.co; argon@chilliflex.co","chilliflex.co","","Fast WiFi; conference rooms; tea & coffee; printing services; kitchen; private desks","biurko od 1000zł/netto za miesiąc; biurko dedykowane od 1500 zł/miesiąc; biuro serwisowane od 1600 zł/miesiąc; biuro wirtualne od 48 zł/miesiąc."
"11","Good Space","","Gdańsk","Małachowskiego 8/2; Grunwaldzka 26/3; Jaśkowa Dolina 11A/1A","54.3604463","18.6312394","","https://goodspace.eu/wp-content/uploads/2024/02/Good-Space-coworking-11-1024x683.webp","501 513 167","biuro@goodspace.eu","goodspace.eu","","Fast WiFi; conference rooms; tea & coffee; printing services; kitchen; private desks",""
"12","Loftmill Gdańsk","","Gdańsk","Droszyńskiego 24; Grunwaldzka 413","54.4002213","18.5758055","","https://loftmill.com/wp-content/uploads/2024/05/Coworking_Loftmill_6.jpg","","","loftmill.com","","Fast WiFi; conference rooms; tea & coffee; printing services; kitchen; private desks",""
"13","Mind dock","","Gdańsk","Porozumienia Gdańskiego 1","54.358695","18.644959","","https://minddock.pl/wp-content/uploads/2023/03/image-9-1-1.jpg","58 767 79 80","info@minddock.pl","minddock.pl","","Fast WiFi; conference rooms; tea & coffee; printing services; kitchen; private desks","biurko od 90 zł/dzień; biurko dedykowane od 229 zł/miesiąc; biuro od 1200 zł/miesiąc."
"14","O4","","Gdańsk","Grunwaldzka 472B","54.3997798","18.5716869","","https://o4.network/wp-content/uploads/2023/05/o4coworking_oliviacentre_gdansk_01.jpg","795 600 971","info@o4.network","o4.network","","Fast WiFi; conference rooms; tea & coffee; printing services; kitchen; private desks","biurko od 750 zł/miesiąc; wirtualne biuro od 90 zł/miesiąc."
"15","Property Spot","","Gdańsk","Topolowa 1/1","54.3677441","18.6327218","","https://propertyspot.pl/wp-content/uploads/2024/03/wynajem-biurek-coworking-gdansk-topolowa-01.jpg","533 755 855","czesc@propertyspot.pl","propertyspot.pl","","Fast WiFi; conference rooms; tea & coffee; printing services; kitchen; private desks","biurko od 399zł/miesiąc; salka konferencyjna od 49 zł/godzina; wirtualne biuro od 89 zł/miesiąc."
"16","Starter","","Gdańsk","Lęborska 3b","54.3911987","18.5882308","","https://inkubatorstarter.pl/wp-content/uploads/2023/12/Starter_Logotyp_Poziom_Kolor-male-1024x293.png","665 603 604","p.gollus@inkubatorstarter.pl","inkubatorstarter.pl","","Fast WiFi; conference rooms; tea & coffee; printing services; kitchen; private desks","hotdeski od 100 zł/dzień; biurko dedykowane od 800 zł netto/miesiąc."
"17","Concept Space","Primarily offers private offices, virtual office services, and mail handling; coworking available in a limited scope.","Gdynia","Górnośląski 21","54.5076096","18.5342071","","https://conceptspace.pl/wp-content/uploads/2024/06/conceptspace-Gdynia-coworking-biuro-wirtualne-sale-konferencyjne-4-1024x683.jpg","536 712 492; 58 526-53-49","kontakt@conceptspace.pl","conceptspace.pl","","Fast WiFi; conference rooms; tea & coffee; printing services; kitchen; private desks","biurko dostępne od 25zł/godzina; 75 zł/dzień; wirtualne biuro do 100 zł/miesiąc; salka konferencyjna od 45zł/godzina"
"18","Worq","","Gdynia","Świętojańska 43/23","54.5187565","18.5422442","","https://worq.pl/wp-content/uploads/2023/05/worq-coworking-gdynia-biuro-wirtualne-5-1024x683.jpg","504 436 437","biuro@worq.pl","worq.pl","","Fast WiFi; conference rooms; tea & coffee; printing services; kitchen; private desks","biurko od 20 zł/godzina; wirtualne biuro od 130 zł/miesiąc."
"19","Oto biura","","Gorzów Wielkopolski","Krótka 4","52.7300218","15.2380068","","https://otobiura.pl/wp-content/uploads/2024/02/otobiura-coworking-biuro-wirtualne-gorzow-wielkopolski-01-1024x702.jpg","607 599 777","biuro@otobiura.pl","otobiura.pl","","Fast WiFi; conference rooms; tea & coffee; printing services; kitchen; private desks","biurko od 15 zł/godzinę; gabinet od 35 zł/godzinę."
"20","17 piętro","","Katowice","Uniwersytecka 13, budynek Altus","50.2618262","19.0245325","","https://17pietro.pl/wp-content/uploads/2023/02/17pietro-biuro-wirtualne-katowice-01-1024x683.jpg","22 535 33 33","biuro@17pietro.pl","17pietro.pl","","Fast WiFi; conference rooms; tea & coffee; printing services; kitchen; private desks","wirtualne biuro – ceny od 49 zł/mies. do 199 zł/mies. Każdy pakiet obejmuje darmowy dostęp do sali konferencyjnej na spotkania biznesowe lub do pracy."
"21","City Space Katowice","","Katowice","Żelazna 2","50.2684993","19.0078509","","https://cityspace.pl/wp-content/uploads/2023/11/CitySpace_OG-1.jpg","","","cityspace.pl","","Fast WiFi; conference rooms; tea & coffee; printing services; kitchen; private desks",""
"22","Cluster Cowork Katowice","","Katowice","Dworcowa 8","50.2572593","19.0192015","","https://clusteroffices.com/wp-content/uploads/2024/02/Cluster-Cowork-biura-serwisowane-coworking-og.jpg","726 005 500","hi@clusteroffices.com","clusteroffices.com","","Fast WiFi; conference rooms; tea & coffee; printing services; kitchen; private desks","hot desk od 549 zł/miesiąc; biurko dedykowane na miesiąc 599 zł; karnety wejściowe na 10 wejść."
"23","Cluster Cowork Katowice","","Katowice","Chorzowska 6","50.2639217","19.0167477","","https://clusteroffices.com/wp-content/uploads/2024/02/Cluster-Cowork-biura-serwisowane-coworking-og.jpg","881 202 203","hi@clusteroffices.com","clusteroffices.com","","Fast WiFi; conference rooms; tea & coffee; printing services; kitchen; private desks","hot desk od 549 zł/miesiąc; biurko dedykowane na miesiąc 599 zł; karnety wejściowe na 10 wejść."
